barrier_jpy,entry_time_utc,entry_price,rolling_high,gap_entry,target_price,stop_price,exit_time_utc,exit_price,result,ambiguous_exit_bar,holding_hours,pnl_jpy_per_usd
3.0,2023-05-18T08:00:00+00:00,137.915,137.915,False,134.915,140.915,2023-05-29T00:00:00+00:00,140.915,LOSS,False,256.0,-3.0
3.0,2023-05-30T06:00:00+00:00,140.922,140.922,False,137.922,143.922,2023-06-27T09:00:00+00:00,143.922,LOSS,False,675.0,-3.0
3.0,2023-06-27T14:00:00+00:00,143.945,143.945,False,140.945,146.945,2023-07-11T02:00:00+00:00,140.945,WIN,False,324.0,3.0
3.0,2023-08-14T00:00:00+00:00,145.073,145.073,False,142.073,148.073,2023-09-20T07:00:00+00:00,148.073,LOSS,False,895.0,-3.0
3.0,2023-09-20T19:00:00+00:00,148.168,148.168,False,145.168,151.168,2023-10-31T14:00:00+00:00,151.168,LOSS,False,979.0,-3.0
3.0,2023-10-31T15:00:00+00:00,151.334,151.334,False,148.334,154.334,2023-11-20T09:00:00+00:00,148.334,WIN,False,474.0,3.0
3.0,2024-03-19T16:00:00+00:00,150.888,150.888,False,147.888,153.888,2024-04-15T06:00:00+00:00,153.888,LOSS,False,638.0,-3.0
3.0,2024-04-15T07:00:00+00:00,153.89,153.89,False,150.89,156.89,2024-04-26T12:00:00+00:00,156.89,LOSS,False,269.0,-3.0
3.0,2024-04-26T14:00:00+00:00,156.954,156.954,False,153.954,159.954,2024-04-29T01:00:00+00:00,159.954,LOSS,False,59.0,-3.0
3.0,2024-06-26T10:00:00+00:00,160.233,160.233,False,157.233,163.233,2024-07-15T16:00:00+00:00,157.233,WIN,False,462.0,3.0
3.0,2024-11-06T02:00:00+00:00,153.882,153.882,False,150.882,156.882,2024-11-27T16:00:00+00:00,150.882,WIN,False,518.0,3.0
3.0,2024-12-19T07:00:00+00:00,156.751,156.751,False,153.751,159.751,2025-01-27T10:00:00+00:00,153.751,WIN,False,939.0,3.0
3.0,2025-07-15T13:00:00+00:00,148.654,148.654,False,145.654,151.654,2025-09-17T18:00:00+00:00,145.654,WIN,False,1541.0,3.0
3.0,2025-10-07T11:00:00+00:00,150.918,150.918,False,147.918,153.918,2025-10-30T10:00:00+00:00,153.918,LOSS,False,551.0,-3.0
3.0,2025-10-30T11:00:00+00:00,153.962,153.962,False,150.962,156.962,,,OPEN,False,,
