barrier_jpy,position,lookback,data_start_utc,analysis_start_utc,data_end_utc,entries_total,closed_trades,wins,losses,open_at_end,win_rate,win_rate_pct,wilson_95_low_pct,wilson_95_high_pct,ambiguous_exit_bars,best_case_win_rate_pct_if_all_ambiguous_are_wins,gap_entries,gross_pnl_jpy_per_usd,average_holding_hours,median_holding_hours,costs_included
2.0,USDJPY short (JPY long),90 calendar days,2020-11-19T21:00:00+00:00,2022-11-18T20:00:00+00:00,2025-11-18T20:00:00+00:00,23,22,9,13,1,0.4090909090909091,40.909090909090914,23.25581619647187,61.26518152368487,0,40.909090909090914,0,-8.0,268.0,194.0,False
3.0,USDJPY short (JPY long),90 calendar days,2020-11-19T21:00:00+00:00,2022-11-18T20:00:00+00:00,2025-11-18T20:00:00+00:00,15,14,6,8,1,0.42857142857142855,42.857142857142854,21.380798904474123,67.40935542034926,0,42.857142857142854,0,-6.0,612.8571428571429,534.5,False
